profile_id,latitude,longitude,upper_depth,lower_depth,date,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,ecec,elco20,elcosp,nitkjd,orgc,phaq,phca,phetb1,phkc,phnf,phprtn,sand,silt,totc,wg0006,wg0010,wg0033,wg0200,wg1500
1566391,18.142863554824082,-93.979009526591,33,60,2004-5-11,,,,,,,46.0,,,0.1,,4.0,6.7,,,,,,35.0,19.0,,,,,,
1566391,18.142863554824082,-93.979009526591,60,95,2004-5-11,,,,,,,32.0,,,0.1,,4.0,7.0,,,,,,21.0,47.0,,,,,,
1566391,18.142863554824082,-93.979009526591,95,130,2004-5-11,,,,,,,33.0,,,0.1,,3.0,7.5,,,,,,27.0,40.0,,,,,,
1566392,18.92351809722859,-90.61411105090627,0,18,????-??-??,,,,,,,72.0,,,1.0,,,6.1,,,,,,18.0,10.0,,,,,,
1566392,18.92351809722859,-90.61411105090627,18,63,????-??-??,,,,,,,76.0,,,1.0,,,5.4,,,,,,18.0,6.0,,,,,,
1566392,18.92351809722859,-90.61411105090627,63,80,????-??-??,,,,,,,78.0,,,1.0,,,5.2,,,,,,14.0,8.0,,,,,,
1566392,18.92351809722859,-90.61411105090627,80,92,????-??-??,,,,,,,78.0,,,1.0,,,5.6,,,,,,16.0,6.0,,,,,,
1566392,18.92351809722859,-90.61411105090627,92,123,????-??-??,,,,,,,78.0,,,1.0,,,5.5,,,,,,18.0,4.0,,,,,,
1566395,18.521765069192124,-91.23723182978473,0,25,????-??-??,,,,,,,2.0,,,1.0,,,5.1,,,,,,90.0,8.0,,,,,,
1566395,18.521765069192124,-91.23723182978473,25,48,????-??-??,,,,,,,2.0,,,1.0,,,6.2,,,,,,96.0,2.0,,,,,,
1566395,18.521765069192124,-91.23723182978473,48,61,????-??-??,,,,,,,28.0,,,1.0,,,5.2,,,,,,70.0,2.0,,,,,,
1566395,18.521765069192124,-91.23723182978473,61,85,????-??-??,,,,,,,36.0,,,1.0,,,5.4,,,,,,58.0,6.0,,,,,,
1566395,18.521765069192124,-91.23723182978473,85,110,????-??-??,,,,,,,34.0,,,1.0,,,5.5,,,,,,60.0,6.0,,,,,,
1566399,18.103720333847285,-90.93711710604167,0,17,????-??-??,,,,,,,42.0,,,3.5,,,7.6,,,,,,32.0,26.0,,,,,,
1566399,18.103720333847285,-90.93711710604167,17,40,????-??-??,,,,,,,24.0,,,1.0,,,7.6,,,,,,32.0,44.0,,,,,,
1566400,18.032698463231608,-91.10835595650492,0,18,????-??-??,,,,,,,52.0,,,2.5,,,6.4,,,,,,34.0,14.0,,,,,,
1566400,18.032698463231608,-91.10835595650492,18,35,????-??-??,,,,,,,34.0,,,1.0,,,7.6,,,,,,58.0,8.0,,,,,,
1566400,18.032698463231608,-91.10835595650492,35,60,????-??-??,,,,,,,36.0,,,1.0,,,7.6,,,,,,38.0,26.0,,,,,,
1566400,18.032698463231608,-91.10835595650492,60,88,????-??-??,,,,,,,38.0,,,2.2,,,7.6,,,,,,54.0,8.0,,,,,,
