bedrock,date,ecoregion,elcosp,geometry,landcover,latitude,longitude,lower_depth,orgc,phaq,precipitation,sand,slopemean,soil_type,temperature,upper_depth,rock_fragments,organic_matter,bulk_density,silt_plus_clay,depth_fraction,soc_tha
rocas_igneas,6/19/2003,2,0.0,POINT (-97.73808 18.153711),9.0,18.153711,-97.73808,9,10.0,5.9,211.8241882,73.0,0.3461495637893677,REGOSOL EUTRICO,16.66122246,0,20.90800006533408,17.24,0.5856000000000003,27.0,9,4.168464764556636
rocas_igneas,6/19/2003,5,0.1,POINT (-110.790504 29.13559),12.0,29.13559,-110.790504,10,3.0,7.3,211.8241882,73.0,0.7818626007613014,REGOSOL EUTRICO,16.66122246,0,7.557407918924115,5.172,1.3096800000000002,27.0,10,3.6321064199023048
rocas_igneas,7/10/2001,5,0.1,POINT (-112.547554 31.314402),7.0,31.314402,-112.547554,15,2.0,8.6,138.5572357,74.0,0.8138591194040464,YERMOSOL HAPLICO,16.13277245,0,13.499896050878508,3.448,1.4131200000000002,26.0,15,3.667050806777477
rocas_igneas,7/11/2003,5,0.1,POINT (-101.879776 21.130907),10.0,21.130907,-101.879776,20,5.0,5.7,145.8343353,87.0,0.32028982043266296,PLANOSOL MOLICO,16.0439949,0,15.017420130485368,8.62,1.1028000000000002,13.0,20,9.371878908010077
rocas_igneas,7/21/2004,5,0.1,POINT (-102.361626 23.330528),10.0,23.330528,-102.361626,10,13.0,8.3,165.5812531,85.0,0.7301245580745649,XEROSOL CALCICO,16.67821503,0,11.437102943016725,22.412,0.2752800000000002,15.0,10,3.1693472592400282
rocas_igneas,7/22/2004,5,0.1,POINT (-112.143906 29.408924),17.0,29.408924,-112.143906,20,2.0,7.8,165.5812531,86.0,0.967985219172849,REGOSOL EUTRICO,16.67821503,0,16.005512551021614,3.448,1.4131200000000002,14.0,20,4.747771604156014
rocas_igneas,10/13/2003,4,0.0,POINT (-104.19221 20.577229),12.0,20.577229,-104.19221,18,2.0,6.3,113.9457397,81.0,1.2557318210601807,FEOZEM HAPLICO,15.17655277,0,8.142372921714587,3.448,1.4131200000000002,19.0,18,4.673010599167201
rocas_igneas,4/20/2004,5,2.5,POINT (-103.72085 23.068336),12.0,23.068336,-103.72085,13,8.0,6.0,83.12443542,71.0,1.0133476229601128,REGOSOL EUTRICO,16.3982811,0,12.669651707525672,13.792,0.7924800000000002,29.0,13,7.197585659141287
rocas_igneas,6/19/2003,5,0.0,POINT (-110.790504 29.13559),12.0,29.13559,-110.790504,20,3.0,6.9,211.8241882,60.0,0.7818626007613014,REGOSOL EUTRICO,16.66122246,10,7.557407918924115,5.172,1.3096800000000002,40.0,10,3.6321064199023048
rocas_igneas,8/18/2005,2,0.1,POINT (-108.53213 28.21066),9.0,28.21066,-108.53213,30,3.0,8.1,166.0456238,70.0,2.9068833192189536,REGOSOL EUTRICO,16.05256844,15,21.7378905596113,5.172,1.3096800000000002,30.0,15,4.612424377134972
rocas_igneas,10/24/2003,2,0.1,POINT (-104.45526 19.139357),4.0,19.139357,-104.45526,11,12.0,4.9,113.9457397,81.0,5.997195720672607,REGOSOL EUTRICO,15.17655277,0,14.306632422938705,20.688,0.37872000000000017,19.0,11,4.283900566279576
rocas_igneas,10/28/2003,2,0.0,POINT (-105.11353 19.715408),17.0,19.715408,-105.11353,21,11.0,6.1,113.9457397,61.0,2.667862892150879,REGOSOL EUTRICO,15.17655277,6,14.63628174190608,18.964,0.48216000000000014,39.0,15,6.791230115228224
rocas_igneas,10/28/2003,2,0.1,POINT (-105.11353 19.715408),17.0,19.715408,-105.11353,6,27.0,7.5,113.9457397,82.0,2.667862892150879,REGOSOL EUTRICO,15.17655277,0,14.63628174190608,46.548,-1.1728799999999997,18.0,6,-16.219666455029614
rocas_igneas,10/31/2003,5,0.0,POINT (-106.38767 29.768652),9.0,29.768652,-106.38767,30,4.0,6.4,113.9457397,82.0,0.8933885331191994,XEROSOL HAPLICO,15.17655277,0,10.595830381540981,6.896,1.2062400000000002,18.0,30,12.9411462672684
rocas_igneas,11/14/2002,5,0.2,POINT (-112.71838 31.513245),7.0,31.513245,-112.71838,25,5.0,8.1,43.62361145,76.0,0.8138591194040464,YERMOSOL HAPLICO,13.86884212,10,14.99287200206551,8.62,1.1028000000000002,24.0,15,7.030939556709163
rocas_igneas,11/19/2002,5,0.1,POINT (-106.91647 30.171257),7.0,30.171257,-106.91647,21,8.0,8.2,43.62361145,70.0,0.9085522829936946,XEROSOL HAPLICO,13.86884212,0,19.513668490975693,13.792,0.7924800000000002,30.0,21,10.715679743037628
rocas_igneas,11/2/2002,2,0.0,POINT (-103.38221 21.190374),12.0,21.190374,-103.38221,4,3.0,7.2,43.62361145,79.0,2.016033858060837,FEOZEM HAPLICO,13.86884212,0,8.439720167921632,5.172,1.3096800000000002,21.0,4,1.438976007485717
rocas_igneas,11/26/2002,5,0.2,POINT (-102.10282 22.75139),7.0,22.75139,-102.10282,18,13.0,7.5,43.62361145,76.0,2.6876949787139894,XEROSOL CALCICO,13.86884212,0,13.529776716235213,22.412,0.2752800000000002,24.0,18,5.570024397339821
rocas_igneas,11/28/2002,4,0.1,POINT (-103.52647 19.535187),4.0,19.535187,-103.52647,27,29.0,7.2,43.62361145,78.0,14.333736419677734,REGOSOL EUTRICO,13.86884212,17,11.459130430026644,49.996,-1.37976,22.0,10,-35.427893557381275
rocas_igneas,11/6/2002,4,0.0,POINT (-103.62335 21.80286),10.0,21.80286,-103.62335,19,6.0,5.7,43.62361145,64.0,11.18533706665039,FEOZEM HAPLICO,13.86884212,11,13.711037205301935,10.344,0.9993600000000001,36.0,8,4.139219417208455
