date,profile_id,longitude,latitude,upper_depth,lower_depth,clay,elcosp,orgc,phaq,sand,silt,geometry,soil_type,slopemean,bedrock
1971-12-10,1566586,-100.01371228867816,20.07008120857069,19,30,24.0,2.0,6.0,5.9,58.0,18.0,POINT (-100.01371228867816 20.070081208570695),FEOZEM LUVICO,1.9262107253074645,rocas_igneas
1971-12-11,1219148,-101.4291797550349,20.789950290992937,0,30,46.0,2.0,9.0,6.9,38.0,16.0,POINT (-101.42917975503491 20.78995029099293),VERTISOL PELICO,0.21640765322842861,rocas_igneas
1971-12-11,1219148,-101.4291797550349,20.789950290992937,0,30,46.0,2.0,9.0,6.9,38.0,16.0,POINT (-101.42917975503491 20.78995029099293),VERTISOL PELICO,0.21640765322842861,rocas_igneas
1971-12-12,1184328,-101.74149511453744,21.98506559152108,0,16,36.0,2.0,5.0,6.9,34.0,30.0,POINT (-101.74149511453746 21.98506559152108),XEROSOL HAPLICO,0.9058078501535498,rocas_igneas
1971-12-12,1531753,-100.11256088455852,21.320322107508705,0,15,38.0,2.0,6.0,4.8,20.0,42.0,POINT (-100.11256088455852 21.32032210750871),LUVISOL ORTICO,8.123827934265137,rocas_igneas
1971-12-7,1253953,-101.76718312578652,21.334268617849684,0,15,18.0,2.0,6.0,5.8,66.0,16.0,POINT (-101.76718312578652 21.334268617849684),FEOZEM HAPLICO,1.2902095317840576,rocas_igneas
1971-12-7,1323318,-100.8038736775867,21.29390939860326,0,20,36.0,2.0,8.0,8.1,32.0,32.0,POINT (-100.8038736775867 21.29390939860326),FEOZEM LUVICO,0.2985215832789739,rocas_igneas
1971-12-7,1462236,-100.0755416471194,21.30763690573844,0,13,22.0,2.0,8.0,7.0,46.0,32.0,POINT (-100.0755416471194 21.307636905738445),LITOSOL,5.899127960205078,rocas_igneas
1971-12-8,1462235,-101.799882388611,21.443864529680607,0,13,32.0,2.0,17.0,6.1,42.0,26.0,POINT (-101.799882388611 21.4438645296806),PLANOSOL EUTRICO,1.0007348651160841,rocas_igneas
1971-12-8,1462235,-101.799882388611,21.443864529680607,0,13,32.0,2.0,17.0,6.1,42.0,26.0,POINT (-101.799882388611 21.4438645296806),PLANOSOL EUTRICO,1.0007348651160841,rocas_igneas
1971-12-8,1462235,-101.799882388611,21.443864529680607,13,29,22.0,2.0,8.0,6.2,52.0,26.0,POINT (-101.799882388611 21.4438645296806),PLANOSOL EUTRICO,1.0007348651160841,rocas_igneas
1971-12-8,1462235,-101.799882388611,21.443864529680607,13,29,22.0,2.0,8.0,6.2,52.0,26.0,POINT (-101.799882388611 21.4438645296806),PLANOSOL EUTRICO,1.0007348651160841,rocas_igneas
1971-12-8,1462237,-100.88559289280164,21.29314699855961,0,13,28.0,2.0,6.0,6.0,44.0,28.0,POINT (-100.88559289280164 21.29314699855961),FEOZEM LUVICO,0.2346542664568558,rocas_igneas
