date,profile_id,longitude,latitude,upper_depth,lower_depth,clay,phaq,sand,silt,tceq
1983-3-10,1288750,-89.65919544254737,20.218783187015607,0,19,44.0,7.0,36.0,20.0,0.0
1983-3-11,1149489,-89.42304315043314,20.378556252080447,10,24,56.0,6.5,22.0,22.0,0.0
1983-3-13,1184367,-89.316800920325,20.19370831771129,0,23,16.0,7.0,52.0,32.0,0.0
1983-3-14,1253992,-88.30882211874204,20.807461664856262,12,27,56.0,6.9,20.0,24.0,0.0
1983-3-15,1184363,-90.1611935121466,20.314253563211853,0,12,40.0,7.0,32.0,28.0,0.0
1983-3-15,1184363,-90.1611935121466,20.314253563211853,12,30,46.0,7.0,26.0,28.0,0.0
1983-3-15,1531809,-87.43035811382354,21.269191441727028,7,12,58.0,6.9,22.0,20.0,0.0
1983-3-15,1531809,-87.43035811382354,21.269191441727028,12,30,62.0,6.7,18.0,20.0,0.0
1983-3-16,1323350,-90.2206805225201,20.06404361591503,0,19,46.0,6.7,28.0,26.0,0.0
1983-3-17,1670918,-90.05822613259252,20.125598551047386,0,15,56.0,6.7,20.0,24.0,0.0
1983-3-20,1253991,-89.11018758071607,20.81253889893826,0,13,34.0,6.9,56.0,10.0,0.0
1983-3-24,1566408,-95.71530116343052,17.693380482221784,0,10,10.0,4.7,54.0,36.0,0.0
1983-3-24,1670703,-94.01590800775543,17.76469574229294,0,10,32.0,5.1,24.0,44.0,0.0
1983-3-25,1184149,-94.64297086775791,17.20471156231503,0,9,44.0,4.0,24.0,32.0,0.0
1983-3-25,1184149,-94.64297086775791,17.20471156231503,9,26,62.0,4.0,16.0,22.0,0.0
1983-3-25,1323139,-95.81777126190003,17.799147651157664,0,16,22.0,5.1,54.0,24.0,0.0
1983-3-25,1323139,-95.81777126190003,17.799147651157664,16,30,30.0,5.5,48.0,22.0,0.0
1983-3-26,1496764,-94.68938493399074,17.238158980205604,0,11,12.0,6.8,72.0,16.0,0.0
1983-3-26,1496764,-94.68938493399074,17.238158980205604,11,19,38.0,6.6,26.0,36.0,0.0
1983-3-27,1670708,-94.75362204439391,17.0521846600393,0,11,38.0,4.7,32.0,30.0,0.0
1983-3-27,1670708,-94.75362204439391,17.0521846600393,11,24,46.0,4.3,24.0,30.0,0.0
1983-4-10,1601263,-94.13353948261998,17.51355762228306,0,12,20.0,4.3,52.0,28.0,0.0
1983-4-10,1601263,-94.13353948261998,17.51355762228306,12,27,20.0,4.2,58.0,22.0,0.0
