,upper_depth,lower_depth,elcosp,orgc,phaq,sand,tceq,temperature,precipitation,organic_matter,bulk_density,silt_plus_clay,landcover,geometry,spatial_lag,moran_i,dist_knn_km,knn_target_mean,dist_to_hotspot_km
1275,0,13,1.0,8.0,7.8,28.0,46.3192068429238,16.22111893,130.265152,13.792,0.7924800000000002,72.0,0.0,POINT (-107.56671 24.67011),6.8,0.28007952440434747,87.70413128090314,7.8,108.57551486509524
1276,13,24,1.0,4.0,7.9,42.0,46.3192068429238,16.22111893,130.265152,6.896,1.2062400000000002,58.0,0.0,POINT (-107.56671 24.67011),7.2,0.4189014159646232,87.70413128090314,7.8,108.57551486509524
1277,0,11,2.1,5.0,6.7,24.0,0.0,16.22111893,130.265152,8.62,1.1028000000000002,76.0,0.0,POINT (-107.40878 24.557943),6.6000000000000005,0.41011364282945023,95.18069685907392,6.4,110.59625139238841
1278,0,9,1.0,16.0,5.8,60.0,0.0,16.22111893,130.265152,27.584,-0.03503999999999974,40.0,0.0,POINT (-107.1775 24.285955),7.800000000000002,-0.03564041979144081,64.84061909282178,7.6,131.49137627850274
1279,9,26,1.0,4.0,6.3,48.0,0.0,16.22111893,130.265152,6.896,1.2062400000000002,52.0,0.0,POINT (-107.1775 24.285955),9.000000000000002,0.3220725335676967,64.84061909282178,7.6,131.49137627850274
1280,0,21,2.0,4.0,8.4,31.0,46.3192068429238,12.45831394,63.62130737,6.896,1.2062400000000002,69.0,0.0,POINT (-101.98445 25.779617),4.875,0.54397205572732,96.95362931664306,3.6,133.84108556360943
1281,0,13,2.0,8.0,7.7,37.0,46.3192068429238,12.45831394,63.62130737,13.792,0.7924800000000002,63.0,0.0,POINT (-101.02218 25.345636),26.285714285714285,-0.38651863797451574,59.90370613027965,33.6,38.27528278018185
1282,0,24,0.8950495049504951,8.0,8.3,26.0,46.3192068429238,12.45831394,63.62130737,13.792,0.7924800000000002,14.0,0.0,POINT (-101.05713 25.97223),5.0,0.34165677400826006,53.66562759588375,4.6,60.47761520828482
1283,0,28,2.0,15.0,8.3,31.0,46.3192068429238,12.45831394,63.62130737,25.86,0.06840000000000024,69.0,0.0,POINT (-100.41429 25.794117),19.6,0.0002898597047440379,79.9828389587237,20.2,35.43759373133002
1284,0,29,2.0,12.0,8.2,40.0,46.3192068429238,12.45831394,63.62130737,20.688,0.37872000000000017,60.0,0.0,POINT (-100.27202 25.870333),19.833333333333332,-0.07087686274527073,83.6183035231368,20.0,37.37857021508004
1285,0,16,2.0,1.0,8.2,47.0,46.3192068429238,12.45831394,63.62130737,1.724,1.5165600000000001,53.0,0.0,POINT (-101.82344 25.703516),5.428571428571429,0.6545916878780949,88.21492256703615,4.8,116.55313109878858
1286,0,17,2.1,5.0,7.7,9.0,46.3192068429238,12.45831394,63.62130737,8.62,1.1028000000000002,91.0,0.0,POINT (-101.62182 25.669064),6.800000000000001,0.40033409014070875,72.5624748759086,2.2,96.01635630791961
1287,0,15,2.0,5.0,8.7,61.0,46.3192068429238,12.45831394,63.62130737,8.62,1.1028000000000002,39.0,0.0,POINT (-101.40535 25.681194),12.0,0.146065720233431,85.08742863818625,12.6,74.80950501943545
1288,0,12,2.9,6.0,8.2,36.0,46.3192068429238,12.45831394,63.62130737,10.344,0.9993600000000001,64.0,0.0,POINT (-101.39115 25.60056),10.4,0.20184310289441584,84.45824122390235,6.4,72.22721465427264
1289,0,12,3.0,11.0,7.1,43.0,46.3192068429238,12.45831394,63.62130737,18.964,0.48216000000000014,57.0,0.0,POINT (-101.20478 25.561228),14.5,0.009510157239946509,83.87365073785475,15.0,53.35445439118779
1290,0,30,2.0,9.0,7.6,23.0,46.3192068429238,12.45831394,63.62130737,15.516,0.6890400000000001,77.0,0.0,POINT (-100.231155 25.556612),27.16666666666666,-0.35702408267180463,34.0496083216709,24.8,3.5854788323261593
1291,0,15,2.0,12.0,8.3,37.0,46.3192068429238,12.45831394,63.62130737,20.688,0.37872000000000017,63.0,0.0,POINT (-101.92152 25.42485),16.272727272727273,-0.01880177898633822,50.56645749486504,22.2,126.1184257241554
1292,0,12,2.0,15.0,8.3,53.0,46.3192068429238,12.45831394,63.62130737,25.86,0.06840000000000024,47.0,0.0,POINT (-101.61793 25.373098),18.81818181818182,0.00024073208145052174,86.53784972014765,19.2,96.94094356093423
1293,0,27,2.0,13.0,8.3,38.0,46.3192068429238,12.45831394,63.62130737,22.412,0.2752800000000002,62.0,0.0,POINT (-100.78853 25.55821),18.888888888888886,-0.0379609676905629,74.2874243682415,27.6,11.606685234997444
1294,0,11,2.0,18.0,7.0,46.0,0.0,12.45831394,63.62130737,31.032,-0.2419199999999999,54.0,0.0,POINT (-100.70448 25.504738),18.5,0.05181788241085461,67.23627257583486,28.2,6.183721948936306
1295,0,16,2.0,23.0,7.1,42.0,46.3192068429238,12.45831394,63.62130737,39.652,-0.7591199999999998,58.0,0.0,POINT (-100.21298 25.365993),38.0,0.9028238341339627,66.08561508574779,28.8,0.0
1296,0,9,2.0,37.0,7.8,36.0,46.3192068429238,12.45831394,63.62130737,63.788,-2.2072799999999995,64.0,0.0,POINT (-100.11161 25.545084),22.0,0.7558163555143356,41.62660995917321,26.2,8.90483056775635
1297,0,12,2.0,31.0,8.2,42.0,46.3192068429238,12.45831394,63.62130737,53.444,-1.58664,58.0,0.0,POINT (-101.78201 25.17673),16.428571428571427,0.11300592245961301,94.87151454178773,16.6,116.81488789836568
1298,0,20,2.0,11.0,7.8,36.0,46.3192068429238,12.45831394,63.62130737,18.964,0.48216000000000014,64.0,0.0,POINT (-101.74078 25.055367),22.4,-0.1447089247446656,84.83977200317973,22.4,116.4070937572288
1299,0,25,2.0,20.0,8.3,38.0,46.3192068429238,12.45831394,63.62130737,34.48,-0.4487999999999994,62.0,0.0,POINT (-101.47787 25.053211),21.57142857142857,0.16159847442305822,98.9747496170917,19.6,91.84240873118812
1300,0,28,2.0,11.0,7.8,36.0,46.3192068429238,12.45831394,63.62130737,18.964,0.48216000000000014,64.0,0.0,POINT (-101.26777 25.028326),16.11111111111111,-0.02194099168799829,109.86537809457165,20.4,74.5262276147415
1301,0,27,2.0,15.0,7.7,34.0,46.3192068429238,12.45831394,63.62130737,25.86,0.06840000000000024,66.0,0.0,POINT (-100.80572 25.063396),20.0,0.00031499476782444164,102.98348855831668,24.6,39.829073102075796
