bedrock,date,ecoregion,elcosp,geometry,landcover,latitude,longitude,lower_depth,orgc,phaq,precipitation,sand,slopemean,soil_type,tceq,temperature,upper_depth,rock_fragments,organic_matter,bulk_density,silt_plus_clay,depth_fraction,sic_tha
rocas_igneas,7/15/2001,5,0.0,POINT (-111.57777 30.397736),7.0,30.397736,-111.57777,19,4.0,8.6,138.5572357,60.0,0.8804304538663255,XEROSOL HAPLICO,8.0,16.13277245,0,6.629755064123676,6.896,1.2062400000000002,40.0,19,8.559646243110311
rocas_igneas,7/16/2003,5,0.1,POINT (-101.226425 21.572819),9.0,21.572819,-101.226425,10,13.0,5.3,145.8343353,70.0,1.0321953554045071,FEOZEM HAPLICO,0.0,16.0439949,0,2.5369385743503248,22.412,0.2752800000000002,30.0,10,3.4878521014028716
rocas_igneas,7/17/2003,5,0.1,POINT (-101.97001 21.939014),8.0,21.939014,-101.97001,24,9.0,5.7,145.8343353,76.0,0.805370716553814,PLANOSOL EUTRICO,0.0,16.0439949,0,7.997756706679807,15.516,0.6890400000000001,24.0,24,13.69293675526714
rocas_igneas,7/20/2004,5,0.1,POINT (-102.2087 23.802002),7.0,23.802002,-102.2087,13,14.0,8.3,165.5812531,78.0,0.32245619211834475,XEROSOL CALCICO,180.0,16.67821503,0,14.34325051524163,24.136,0.17184000000000021,22.0,13,2.6789045613258833
rocas_igneas,7/8/2003,4,0.4,POINT (-101.1529 21.087831),8.0,21.087831,-101.1529,13,31.0,3.8,145.8343353,62.0,7.440691947937181,LUVISOL CROMICO,0.0,16.0439949,0,10.510562254743943,53.444,-1.58664,38.0,13,-57.22097116616563
rocas_igneas,8/18/2009,2,1.0,POINT (-105.27506 20.990345),12.0,20.990345,-105.27506,30,7.0,5.3,100.4876251,58.0,2.2013280391693115,FEOZEM HAPLICO,0.0,16.51268387,0,4.884550106956877,12.068,0.8959200000000002,42.0,30,17.895325112316794
rocas_igneas,8/24/2003,4,0.8,POINT (-97.15341 18.494621),4.0,18.494621,-97.15341,7,37.0,5.2,155.0924683,68.0,3.0202675660451255,FEOZEM HAPLICO,0.0,16.81706238,0,0.4892091993777385,63.788,-2.2072799999999995,32.0,7,-56.888878184464936
rocas_igneas,8/5/2001,5,0.0,POINT (-112.090836 30.754381),7.0,30.754381,-112.090836,28,0.0,8.8,109.4155121,86.0,0.8398703122250387,XEROSOL HAPLICO,13.0,16.04876137,19,9.445789304623265,0.0,1.62,14.0,9,0.0
rocas_igneas,9/12/2002,2,0.0,POINT (-103.96288 20.051867),16.0,20.051867,-103.96288,25,5.0,5.7,163.5917969,78.0,7.325450420379639,LUVISOL CROMICO,0.0,16.4811573,0,13.889945080138338,8.62,1.1028000000000002,22.0,25,11.870271070702932
rocas_igneas,9/15/2002,2,0.1,POINT (-104.22892 19.790012),9.0,19.790012,-104.22892,15,11.0,6.6,163.5917969,68.0,0.22214524990745954,FEOZEM HAPLICO,0.0,16.4811573,0,2.2016768719656588,18.964,0.48216000000000014,32.0,15,7.780482514103152
rocas_igneas,9/22/2003,4,0.3,POINT (-101.799774 19.481882),9.0,19.481882,-101.799774,20,40.0,5.4,135.7568512,68.0,13.920520782470703,ANDOSOL HUMICO,0.0,15.96284294,0,4.3471365341376895,68.96,-2.517599999999999,32.0,20,-192.6525192493239
rocas_igneas,3/10/2003,5,0.1,POINT (-102.031906 21.730059),8.0,21.730059,-102.031906,5,7.0,6.6,30.68841934,65.0,0.2707509446179144,PLANOSOL EUTRICO,0.0,16.39164162,0,0.1715362608109929,12.068,0.8959200000000002,35.0,5,3.1303411031624986
rocas_igneas,7/15/2003,5,0.1,POINT (-101.092735 21.894365),7.0,21.894365,-101.092735,14,7.0,5.3,145.8343353,67.0,2.7424254417419434,FEOZEM HAPLICO,0.0,16.0439949,0,22.680296635039976,12.068,0.8959200000000002,33.0,14,6.78868232659603
rocas_igneas,8/22/2003,2,0.2,POINT (-97.951416 18.224543),12.0,18.224543,-97.951416,27,8.0,6.4,155.0924683,65.0,5.643891811369967,REGOSOL EUTRICO,0.0,16.81706238,0,18.744606580615322,13.792,0.7924800000000002,35.0,27,13.908947222230701
