date,profile_id,longitude,latitude,upper_depth,lower_depth,country_name,bdfi33,bdfiod,bdwsod,cecph7,cfgr,cfvo,clay,ecec,elco20,elcosp,nitkjd,orgc,phaq,phca,phetb1,phkc,phnf,phprtn,sand,silt,tceq,totc,wg0006,wg0010,wg0033,wg0200,wg1500
1971-12-7,1323318,-100.8038736775867,21.29390939860326,0,20,Mexico,,,,,,,36.0,,,2.0,,8.0,8.1,,,,,,32.0,32.0,,,,,,,
1971-12-7,1462236,-100.07554164711941,21.30763690573844,0,13,Mexico,,,,,,,22.0,,,2.0,,8.0,7.0,,,,,,46.0,32.0,0.0,,,,,,
1971-12-8,1462235,-101.79988238861101,21.443864529680607,0,13,Mexico,,,,,,,32.0,,,2.0,,17.0,6.1,,,,,,42.0,26.0,0.0,,,,,,
1971-12-8,1462235,-101.79988238861101,21.443864529680607,13,29,Mexico,,,,,,,22.0,,,2.0,,8.0,6.2,,,,,,52.0,26.0,0.0,,,,,,
1971-12-8,1462237,-100.88559289280164,21.29314699855961,0,13,Mexico,,,,,,,28.0,,,2.0,,6.0,6.0,,,,,,44.0,28.0,0.0,,,,,,
1971-12-8,1462237,-100.88559289280164,21.29314699855961,13,27,Mexico,,,,,,,28.0,,,2.0,,5.0,6.2,,,,,,46.0,26.0,0.0,,,,,,
1971-2-20,1149461,-101.90554295526296,20.129912255615384,0,25,Mexico,,,,,,,52.0,,,2.0,,17.0,6.1,,,,,,28.0,20.0,0.0,,,,,,
1971-3-20,1288659,-103.60863082073033,22.04581375333879,0,20,Mexico,,,,,,,38.0,,,2.0,,9.0,7.2,,,,,,48.0,14.0,,,,,,,
1971-3-31,1427622,-103.70315083525867,22.647652453426602,0,20,Mexico,,,,,,,26.0,,,2.0,,17.0,6.5,,,,,,50.0,24.0,0.0,,,,,,
1971-4-13,1601394,-104.22648194934482,21.558666322029058,0,30,Mexico,,,,,,,20.0,,,1.0,,20.0,5.2,,,,,,56.0,24.0,0.0,,,,,,
1971-4-2,1636212,-104.15287175553766,21.536554660925397,0,15,Mexico,,,,,,,40.0,,,1.0,,29.0,5.9,,,,,,38.0,22.0,0.0,,,,,,
1971-4-3,1288661,-104.0692798273489,21.719720948239,0,30,Mexico,,,,,,,34.0,,,1.0,,8.0,5.9,,,,,,44.0,22.0,0.0,,,,,,
1971-4-3,1601392,-104.96833209703573,21.875936875219782,0,24,Mexico,,,,,,,30.0,,,1.0,,29.0,4.8,,,,,,32.0,38.0,0.0,,,,,,
1971-7-15,1392829,-101.17472057508594,21.454840384908465,0,10,Mexico,,,,,,,28.0,,,2.0,,9.0,6.8,,,,,,38.0,34.0,0.0,,,,,,
1971-7-15,1392829,-101.17472057508594,21.454840384908465,10,20,Mexico,,,,,,,40.0,,,2.0,,8.0,6.3,,,,,,38.0,22.0,0.0,,,,,,
1971-7-16,1358128,-101.23379138042708,21.421869006614646,0,16,Mexico,,,,,,,22.0,,,2.0,,5.0,5.7,,,,,,52.0,26.0,0.0,,,,,,
1971-7-19,1462238,-100.88890735327624,21.25296252203318,0,10,Mexico,,,,,,,28.0,,,2.0,,7.0,5.9,,,,,,52.0,20.0,0.0,,,,,,
1971-7-19,1462238,-100.88890735327624,21.25296252203318,10,30,Mexico,,,,,,,24.0,,,2.0,,8.0,6.0,,,,,,50.0,26.0,0.0,,,,,,
1971-7-25,1427688,-100.9209448076524,21.080834964254212,0,16,Mexico,,,,,,,24.0,,,2.0,,10.0,7.0,,,,,,44.0,32.0,0.0,,,,,,
1971-7-26,1219137,-100.74671988766582,21.096209569105056,0,26,Mexico,,,,,,,28.0,,,2.0,,14.0,7.4,,,,,,52.0,20.0,,,,,,,
1971-7-26,1323321,-100.53609604641801,21.075019471839553,0,18,Mexico,,,,,,,16.0,,,2.0,,5.0,8.0,,,,,,66.0,18.0,,,,,,,
1971-7-28,1392842,-100.61216736312927,20.92123667893477,0,26,Mexico,,,,,,,40.0,,,2.0,,14.0,5.9,,,,,,34.0,26.0,0.0,,,,,,
1971-7-29,1636256,-101.70186244197541,21.025479616785834,0,28,Mexico,,,,,,,52.0,,,2.0,,10.0,7.4,,,,,,26.0,22.0,,,,,,,
